Time [min],Control,B1,B7
0,252,278,262
0.25,250,277,262
0.5,248,276,261
0.75,248,277,262
1,247,277,263
1.25,248,276,262
1.5,248,277,260
1.75,244,275,259
2,247,274,260
2.25,244,276,262
2.5,245,275,263
2.75,245,274,263
3,244,272,261
3.25,245,272,263
3.5,243,274,263
3.75,246,270,264
4,246,271,261
4.25,242,272,263
4.5,241,273,263
4.75,243,272,259
5,244,271,260
5.25,244,270,259
5.5,242,272,259
5.75,243,270,260
6,242,270,256
6.25,241,270,260
6.5,243,270,257
6.75,242,269,258
7,242,268,258
7.25,240,266,259
7.5,241,267,257
7.75,239,269,258
8,242,269,257
8.25,241,268,255
8.5,239,270,256
8.75,239,267,257
9,241,269,260
9.25,240,265,258
9.5,240,267,259
9.75,239,266,256
10,240,266,257
10.25,240,266,260
10.5,238,266,257
10.75,239,267,258
11,240,266,258
11.25,238,264,257
11.5,241,266,258
11.75,241,263,259
12,239,267,258
12.25,238,264,257
12.5,241,263,256
12.75,241,264,259
13,240,264,257
13.25,236,262,256
13.5,240,266,255
13.75,240,263,253
14,239,267,255
14.25,239,264,260
14.5,237,263,255
14.75,238,264,254
15,236,262,254
15.25,238,265,258
15.5,237,264,256
15.75,237,261,254
16,241,260,253
16.25,239,260,255
16.5,238,264,256
16.75,238,261,254
17,238,262,255
17.25,238,265,253
17.50166667,237,259,255
17.75,238,260,258
18,239,261,255
18.25,239,260,255
18.5,239,261,255
18.75,238,260,256
19,239,263,253
19.25,239,260,256
19.5,238,263,254
19.75,236,259,254
20,237,264,255
20.25,235,260,252
20.5,237,258,250
20.75,237,262,252
21,236,259,260
21.25,237,262,254
21.5,235,261,252
