Time [min],Control,B1
0.00,229,225
0.25,225,226
0.50,225,222
0.75,222,223
1.00,227,221
1.25,227,221
1.50,219,221
1.75,219,223
2.00,221,220
2.25,223,221
2.50,218,218
2.75,215,220
3.00,218,225
3.25,219,217
3.50,219,215
3.75,213,218
4.00,218,216
4.25,223,219
4.50,222,221
4.75,219,218
5.00,218,216
5.25,222,214
5.50,219,217
5.76,217,220
6.01,215,221
6.26,216,222
6.51,221,218
6.76,222,220
7.01,227,218
7.26,218,221
7.51,220,217
7.76,221,217
8.01,221,217
8.26,219,217
8.51,219,220
8.76,215,219
9.01,221,217
9.26,218,216
9.51,223,217
9.76,223,216
10.01,219,213
10.26,214,214
10.51,218,216
10.76,221,217
11.01,223,216
11.26,218,217
11.51,224,219
11.76,222,216
12.01,222,211
12.26,219,214
12.51,216,213
12.76,208,216
13.01,220,210
13.26,218,215
13.51,218,220
13.76,216,211
14.01,219,220
14.26,213,211
14.51,219,212
14.76,216,211
15.01,213,217
15.26,219,217
15.51,213,218
15.76,218,211
16.01,217,217
16.26,214,211
16.51,219,211
16.76,215,215
17.01,218,219
17.26,221,213
17.51,212,216
17.76,221,213
18.01,209,212
18.27,216,212
18.52,212,216
18.77,218,208
19.02,212,212
19.27,211,213
19.52,214,213
19.77,218,210
20.02,212,210
20.27,211,209
20.52,212,211
20.77,218,211
21.02,213,214
21.27,216,215
21.52,213,211
21.77,213,213
22.02,211,215
22.27,217,209
22.52,213,210
22.77,216,209
23.02,214,213
23.27,210,211
23.52,212,218
23.77,212,208
24.02,214,211
24.27,216,212
24.52,213,209
24.77,213,208
25.02,218,212
25.27,211,215
25.52,214,212
25.77,215,213
26.02,210,213
26.27,214,206
26.52,212,213
26.77,215,208
27.02,208,211
27.27,212,209
27.52,208,208
27.77,210,211
28.02,212,206
28.27,212,211
28.52,214,213
28.77,213,203
29.02,216,210
29.27,207,205
29.52,210,210
29.77,210,211
