Time [min],Control,M1
0.00,229,213
0.25,226,207
0.50,227,210
0.75,227,210
1.00,221,227
1.25,224,233
1.50,221,232
1.75,225,228
2.00,224,235
2.25,222,235
2.50,223,230
2.75,223,231
3.00,222,229
3.25,221,226
3.50,218,227
3.75,222,228
4.00,217,225
4.25,222,222
4.50,217,225
4.75,226,226
5.00,218,225
5.25,219,225
5.50,223,225
5.75,218,228
6.00,221,223
6.25,220,223
6.50,221,226
6.75,225,225
7.00,220,217
7.25,221,221
7.50,220,226
7.76,217,225
8.01,218,227
8.26,214,222
8.51,217,224
8.76,212,220
9.01,219,222
9.26,217,224
9.51,217,222
9.76,222,221
10.01,215,222
10.26,219,219
10.51,211,220
10.76,216,221
11.01,216,220
11.26,219,216
11.51,218,220
11.76,214,219
12.01,218,219
12.26,214,220
12.51,217,217
12.76,216,223
13.01,218,217
13.26,217,221
13.51,218,221
13.76,216,223
14.01,218,216
14.26,216,217
14.51,214,218
14.76,216,220
15.01,212,215
15.26,212,220
15.51,214,220
15.76,210,220
16.01,212,220
16.26,216,214
16.51,208,217
16.76,214,219
17.01,214,218
17.26,212,214
17.51,213,217
17.76,212,215
18.01,220,218
18.26,220,217
18.51,217,216
18.76,213,216
19.01,212,218
19.26,213,219
19.51,211,212
19.76,215,217
